         6454477 function calls (6452778 primitive calls) in 15.860 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 decomp_lu.py:17(lu_factor)
       42    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 core.py:6059(mvoid)
      687    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 defchararray.py:1824(chararray)
        4    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
      129    0.000    0.000    0.000    0.000 function_base.py:258(iterable)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       77    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
      143    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      139    0.000    0.000    0.001    0.000 re.py:138(match)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6664(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:24(<module>)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6572(getdoc)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       42    0.000    0.000    0.006    0.000 sre_compile.py:552(_code)
       11    0.000    0.000    0.000    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      129    0.000    0.000    0.000    0.000 stride_tricks.py:26(_maybe_view_as_subclass)
        1    0.000    0.000    0.000    0.000 orthogonal.py:72(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       93    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
       70    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       86    0.000    0.000    0.000    0.000 stride_tricks.py:261(<genexpr>)
       50    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_ctypes.PyCArrayType' objects}
       30    0.000    0.000    0.000    0.000 {method 'rand' of 'mtrand.RandomState' objects}
      172    0.000    0.000    0.000    0.000 coo.py:590(isspmatrix_coo)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
      172    0.000    0.000    0.000    0.000 data.py:25(_get_dtype)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
      729    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 _testutils.py:4(<module>)
       94    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       39    0.000    0.000    0.014    0.000 re.py:192(compile)
      297    0.000    0.000    0.000    0.000 {numpy.core._multiarray_umath.add_docstring}
      226    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
       63    0.000    0.000    0.000    0.000 sre_parse.py:236(_class_escape)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       84    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
      219    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
        6    0.000    0.000    0.001    0.000 warnings.py:67(filterwarnings)
       75    0.000    0.000    0.000    0.000 {repr}
        5    0.000    0.000    0.000    0.000 warnings.py:40(formatwarning)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:146(get_object_signature)
      430    0.000    0.000    0.000    0.000 linalg.py:140(_linalgRealType)
        2    0.000    0.000    0.000    0.000 {posix.urandom}
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _numpy_compat.py:3(<module>)
       12    0.000    0.000    0.000    0.000 utils.py:118(deprecate)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 sputils.py:2(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 six.py:209(exec_)
       42    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
       93    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        8    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       16    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 process.py:86(Process)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
        1    0.000    0.000    0.001    0.001 token.py:1(<module>)
       18    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
       42    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
       14    0.000    0.000    0.006    0.000 {map}
        3    0.000    0.000    0.000    0.000 decimal.py:3782(__init__)
       84    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 linecache.py:72(updatecache)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:29(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:398(_init)
       48    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 __init__.py:346(__init__)
        1    0.000    0.000    0.015    0.015 FibInitializer.py:72(makeRandomFibers)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
       45    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
       77    0.000    0.000    0.000    0.000 overrides.py:104(decorator)
       17    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:260(__init__)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
       93    0.000    0.000    0.000    0.000 _internal.py:854(<genexpr>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
       36    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
       70    0.000    0.000    0.000    0.000 shape_base.py:1226(<genexpr>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6670(<genexpr>)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1499(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 {numpy.fft.fftpack_lite.cffti}
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
      129    0.000    0.000    0.000    0.000 {iter}
       26    0.000    0.000    0.000    0.000 core.py:6567(__init__)
        4    0.000    0.000    0.000    0.000 getlimits.py:365(__new__)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
      256    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       84    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      192    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:493(StringConverter)
       39    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       50    0.000    0.000    0.000    0.000 _internal.py:341(data)
       28    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 bsr.py:24(bsr_matrix)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       77    0.000    0.000    0.000    0.000 type_check.py:170(imag)
       44    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       70    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
       44    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       70    0.000    0.000    0.000    0.000 shape_base.py:1236(<genexpr>)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
        1    0.000    0.000    0.000    0.000 coo.py:22(coo_matrix)
        1    0.000    0.000    0.000    0.000 _decomp_ldl.py:1(<module>)
       77    0.000    0.000    0.000    0.000 overrides.py:93(set_module)
        1    0.000    0.000    0.002    0.002 ExForces.py:8(__init__)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 decomp_cholesky.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
      106    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
        5    0.000    0.000    0.001    0.000 warnings.py:25(_show_warning)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
       47    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
       47    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
        1    0.000    0.000    0.000    0.000 special_matrices.py:1(<module>)
        1    0.000    0.000    0.004    0.004 Fluid.py:15(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:833(Unpickler)
        8    0.000    0.000    0.000    0.000 _version.py:114(_compare)
       13    0.000    0.000    0.000    0.000 dual.py:52(register_func)
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
       64    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.000    0.000 _dtype.py:5(<module>)
        4    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
      316    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
        2    0.000    0.000    0.000    0.000 getlimits.py:239(_get_machar)
        1    0.000    0.000    0.000    0.000 _matrix_io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
       14    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        2    0.000    0.000    0.000    0.000 platform.py:1346(_sys_version)
        1    0.000    0.000    0.000    0.000 decomp_lu.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
        1    0.000    0.000    0.000    0.000 dual.py:12(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
        1    0.000    0.000    0.000    0.000 _internal.py:242(_missing_ctypes)
       21    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:95(_add_types)
        1    0.000    0.000    0.000    0.000 compressed.py:22(_cs_matrix)
       20    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        7    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
       18    0.000    0.000    0.000    0.000 data.py:130(_create_method)
        1    0.000    0.000    0.000    0.000 linalg_version.py:1(<module>)
       23    0.000    0.000    0.000    0.000 overrides.py:183(decorator)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
        4    0.000    0.000    0.000    0.000 textwrap.py:374(dedent)
        6    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
        1    0.000    0.000    0.000    0.000 {posix.stat}
       16    0.000    0.000    0.000    0.000 re.py:143(search)
        1    0.000    0.000    0.000    0.000 dok.py:30(dok_matrix)
        2    0.000    0.000    0.000    0.000 collections.py:50(__init__)
       16    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
        1    0.000    0.000    0.000    0.000 polynomial.py:1005(poly1d)
      348    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 Fiber.py:7(Fiber)
       19    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.002    0.002 SBTMain.py:9(prepareOutFile)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:187(_set_up_aliases)
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
        1    0.000    0.000    0.000    0.000 decimal.py:3763(Context)
        1    0.000    0.000    0.000    0.000 data.py:21(_data_matrix)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        2    0.000    0.000    0.000    0.000 function_base.py:2031(__init__)
        1    0.000    0.000    0.000    0.000 _laplacian.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:68(<genexpr>)
        7    0.000    0.000    0.000    0.000 {numpy.seterrobj}
       24    0.000    0.000    0.000    0.000 {sys._getframe}
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 threading.py:631(Thread)
        1    0.000    0.000    0.000    0.000 _spherical_bessel.py:1(<module>)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6629(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 decomp_qr.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2758(geterr)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 _logsumexp.py:1(<module>)
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
        2    0.000    0.000    0.000    0.000 helper.py:253(__init__)
        1    0.000    0.000    0.000    0.000 _procrustes.py:4(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:74(matrix)
        1    0.000    0.000    0.000    0.000 spfun_stats.py:33(<module>)
        8    0.000    0.000    0.000    0.000 core.py:2551(_arraymethod)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.generic' objects}
       50    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 {method 'seed' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 _sketches.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 _globals.py:67(__new__)
        1    0.000    0.000    0.000    0.000 subprocess.py:293(Popen)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        5    0.000    0.000    0.000    0.000 linecache.py:13(getline)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        9    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 extract.py:2(<module>)
        1    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
        1    0.000    0.000    0.000    0.000 {math.exp}
       31    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        4    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
       15    0.000    0.000    0.000    0.000 mixins.py:30(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
       12    0.000    0.000    0.000    0.000 utils.py:70(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
        1    0.000    0.000    0.000    0.000 dia.py:18(dia_matrix)
        1    0.000    0.000    0.000    0.000 lil.py:22(lil_matrix)
        1    0.000    0.000    0.000    0.000 tempfile.py:519(SpooledTemporaryFile)
        4    0.000    0.000    0.000    0.000 re.py:168(split)
        1    0.000    0.000    0.000    0.000 FibInitializer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        2    0.000    0.000    0.006    0.003 EwaldStuff.py:11(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
       27    0.000    0.000    0.000    0.000 decimal.py:3816(<genexpr>)
        2    0.000    0.000    0.000    0.000 {posix.unsetenv}
       38    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        3    0.000    0.000    0.000    0.000 numerictypes.py:238(obj2sctype)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
       27    0.000    0.000    0.000    0.000 decimal.py:3809(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 collections.py:38(OrderedDict)
       47    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       23    0.000    0.000    0.000    0.000 overrides.py:179(array_function_from_dispatcher)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2118(Chebyshev)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        1    0.000    0.000    0.000    0.000 core.py:1282(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 EwaldStuff.py:6(EwaldSplitter)
       26    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6669(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 threading.py:647(__init__)
        5    0.000    0.000    0.000    0.000 linecache.py:33(getlines)
        1    0.000    0.000    0.000    0.000 info.py:184(<module>)
        1    0.000    0.000    0.000    0.000 posixpath.py:329(normpath)
        1    0.000    0.000    0.000    0.000 legendre.py:1804(Legendre)
       19    0.000    0.000    0.000    0.000 tokenize.py:45(group)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6628(numeric_type_aliases)
       30    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        2    0.000    0.000    0.000    0.000 {posix.putenv}
       14    0.000    0.000    0.000    0.000 {numpy.geterrobj}
       47    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 laguerre.py:1769(Laguerre)
        1    0.000    0.000    0.000    0.000 process.py:301(__init__)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        2    0.000    0.000    0.000    0.000 arrayprint.py:460(decorating_function)
       16    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
       16    0.000    0.000    0.000    0.000 {next}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:63(<setcomp>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:270(NameValidator)
        1    0.000    0.000    0.000    0.000 lambertw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csr.py:23(csr_matrix)
        2    0.000    0.000    0.000    0.000 warnings.py:96(simplefilter)
        1    0.000    0.000    0.000    0.000 info.py:156(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:115(NoseTester)
        1    0.000    0.000    0.000    0.000 hermite.py:1819(Hermite)
        1    0.000    0.000    0.000    0.000 core.py:6255(MaskedConstant)
       30    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
       12    0.000    0.000    0.000    0.000 utils.py:53(_set_function_name)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 random.py:805(SystemRandom)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
       22    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        2    0.000    0.000    0.000    0.000 {math.log}
        3    0.000    0.000    0.000    0.000 index_tricks.py:310(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:444(iinfo)
       17    0.000    0.000    0.000    0.000 {thread.get_ident}
        3    0.000    0.000    0.000    0.000 numeric.py:3063(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:255(_Condition)
       14    0.000    0.000    0.000    0.000 mixins.py:40(_inplace_binary_method)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        1    0.000    0.000    0.000    0.000 core.py:3080(view)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 orthogonal.py:124(orthopoly1d)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        2    0.000    0.000    0.000    0.000 core.py:6448(__init__)
        8    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
        1    0.000    0.000    0.000    0.000 collections.py:407(Counter)
        1    0.000    0.000    0.000    0.000 utils.py:1975(suppress_warnings)
        5    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
       10    0.000    0.000    0.000    0.000 _pytesttester.py:72(__init__)
        2    0.000    0.000    0.000    0.000 core.py:6347(__setattr__)
        1    0.000    0.000    0.000    0.000 utils.py:994(SafeEval)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:44(english_upper)
        8    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 warnings.py:361(__enter__)
        1    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
        6    0.000    0.000    0.000    0.000 core.py:844(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:627(Repository)
        1    0.000    0.000    0.000    0.000 index_tricks.py:109(nd_grid)
        1    0.000    0.000    0.000    0.000 data.py:156(_minmax_mixin)
        1    0.000    0.000    0.000    0.000 _version.py:17(NumpyVersion)
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
        1    0.000    0.000    0.000    0.000 _internal.py:219(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 records.py:87(format_parser)
        2    0.000    0.000    0.000    0.000 _util.py:157(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:340(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:438(__getitem__)
        1    0.000    0.000    0.000    0.000 {posix.getcwd}
        1    0.000    0.000    0.000    0.000 posixpath.py:358(abspath)
        2    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
        1    0.000    0.000    0.000    0.000 csc.py:19(csc_matrix)
        1    0.000    0.000    0.000    0.000 numerictypes.py:593(_register_types)
        1    0.000    0.000    0.000    0.000 suite.py:252(_ErrorHolder)
        1    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        1    0.000    0.000    0.000    0.000 polynomial.py:1614(Polynomial)
        1    0.000    0.000    0.000    0.000 _internal.py:291(_ctypes)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 {posix.sysconf}
        1    0.000    0.000    0.000    0.000 memmap.py:24(memmap)
        1    0.000    0.000    0.000    0.000 case.py:178(__init__)
        6    0.000    0.000    0.000    0.000 case.py:208(addTypeEqualityFunc)
        1    0.000    0.000    0.000    0.000 util.py:172(Finalize)
        3    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
        1    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        1    0.000    0.000    0.000    0.000 weakref.py:297(__init__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1812(HermiteE)
        7    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:515(<lambda>)
        5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
        2    0.000    0.000    0.000    0.000 platform.py:1449(python_implementation)
        1    0.000    0.000    0.000    0.000 core.py:6439(_extrema_operation)
        1    0.000    0.000    0.000    0.000 _ccallback.py:26(LowLevelCallable)
        3    0.000    0.000    0.000    0.000 numeric.py:3054(__init__)
        4    0.000    0.000    0.000    0.000 re.py:148(sub)
        8    0.000    0.000    0.000    0.000 getlimits.py:92(_register_type)
        1    0.000    0.000    0.000    0.000 extras.py:218(_fromnxfunction)
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 numbers.py:270(Rational)
